id,question_code,question,closed_answer,enps_month
1,ABC1,I have the resources I need to do my job well,0,3
2,ABC2,I am able to successfully balance my work and personal life,1,5
3,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,4
4,ABC4,I would recommend my direct manager to others,0,9
5,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
6,ABC6,I have confidence in the leadership team,0,5
7,ABC7,I have good career opportunities at this organization,1,4
8,ABC8,The work that I do at this organization is meaningful to me,1,6
9,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,0
10,ABC10,I enjoy the colleagues I work with,0,4
11,ABC1,I have the resources I need to do my job well,0,9
12,ABC2,I am able to successfully balance my work and personal life,0,1
13,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,8
14,ABC4,I would recommend my direct manager to others,0,2
15,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,7
16,ABC6,I have confidence in the leadership team,1,4
17,ABC7,I have good career opportunities at this organization,1,4
18,ABC8,The work that I do at this organization is meaningful to me,1,9
19,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,3
20,ABC10,I enjoy the colleagues I work with,0,9
21,ABC1,I have the resources I need to do my job well,0,3
22,ABC2,I am able to successfully balance my work and personal life,1,9
23,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,1
24,ABC4,I would recommend my direct manager to others,1,0
25,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
26,ABC6,I have confidence in the leadership team,1,4
27,ABC7,I have good career opportunities at this organization,0,1
28,ABC8,The work that I do at this organization is meaningful to me,0,9
29,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,3
30,ABC10,I enjoy the colleagues I work with,1,4
31,ABC1,I have the resources I need to do my job well,0,8
32,ABC2,I am able to successfully balance my work and personal life,1,10
33,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,10
34,ABC4,I would recommend my direct manager to others,1,1
35,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,5
36,ABC6,I have confidence in the leadership team,0,1
37,ABC7,I have good career opportunities at this organization,1,6
38,ABC8,The work that I do at this organization is meaningful to me,1,6
39,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,7
40,ABC10,I enjoy the colleagues I work with,0,7
41,ABC1,I have the resources I need to do my job well,0,9
42,ABC2,I am able to successfully balance my work and personal life,0,7
43,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,3
44,ABC4,I would recommend my direct manager to others,0,8
45,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,5
46,ABC6,I have confidence in the leadership team,0,10
47,ABC7,I have good career opportunities at this organization,1,0
48,ABC8,The work that I do at this organization is meaningful to me,0,9
49,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,4
50,ABC10,I enjoy the colleagues I work with,0,1
51,ABC1,I have the resources I need to do my job well,1,5
52,ABC2,I am able to successfully balance my work and personal life,0,2
53,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
54,ABC4,I would recommend my direct manager to others,1,9
55,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,0
56,ABC6,I have confidence in the leadership team,1,10
57,ABC7,I have good career opportunities at this organization,0,6
58,ABC8,The work that I do at this organization is meaningful to me,1,7
59,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,10
60,ABC10,I enjoy the colleagues I work with,1,3
61,ABC1,I have the resources I need to do my job well,1,1
62,ABC2,I am able to successfully balance my work and personal life,1,1
63,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,3
64,ABC4,I would recommend my direct manager to others,1,4
65,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,10
66,ABC6,I have confidence in the leadership team,1,3
67,ABC7,I have good career opportunities at this organization,0,5
68,ABC8,The work that I do at this organization is meaningful to me,1,5
69,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,5
70,ABC10,I enjoy the colleagues I work with,1,0
71,ABC1,I have the resources I need to do my job well,0,3
72,ABC2,I am able to successfully balance my work and personal life,0,9
73,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,1
74,ABC4,I would recommend my direct manager to others,0,2
75,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,0
76,ABC6,I have confidence in the leadership team,1,2
77,ABC7,I have good career opportunities at this organization,1,2
78,ABC8,The work that I do at this organization is meaningful to me,1,6
79,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,5
80,ABC10,I enjoy the colleagues I work with,0,9
81,ABC1,I have the resources I need to do my job well,1,10
82,ABC2,I am able to successfully balance my work and personal life,0,1
83,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,0
84,ABC4,I would recommend my direct manager to others,0,9
85,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,5
86,ABC6,I have confidence in the leadership team,0,5
87,ABC7,I have good career opportunities at this organization,1,7
88,ABC8,The work that I do at this organization is meaningful to me,0,8
89,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,8
90,ABC10,I enjoy the colleagues I work with,0,0
91,ABC1,I have the resources I need to do my job well,1,4
92,ABC2,I am able to successfully balance my work and personal life,1,10
93,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,7
94,ABC4,I would recommend my direct manager to others,1,5
95,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,7
96,ABC6,I have confidence in the leadership team,0,7
97,ABC7,I have good career opportunities at this organization,1,1
98,ABC8,The work that I do at this organization is meaningful to me,0,9
99,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,6
100,ABC10,I enjoy the colleagues I work with,1,5
101,ABC1,I have the resources I need to do my job well,0,6
102,ABC2,I am able to successfully balance my work and personal life,1,7
103,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
104,ABC4,I would recommend my direct manager to others,1,6
105,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,8
106,ABC6,I have confidence in the leadership team,0,8
107,ABC7,I have good career opportunities at this organization,1,1
108,ABC8,The work that I do at this organization is meaningful to me,0,0
109,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
110,ABC10,I enjoy the colleagues I work with,1,6
111,ABC1,I have the resources I need to do my job well,1,7
112,ABC2,I am able to successfully balance my work and personal life,0,2
113,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,2
114,ABC4,I would recommend my direct manager to others,1,4
115,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
116,ABC6,I have confidence in the leadership team,0,4
117,ABC7,I have good career opportunities at this organization,0,3
118,ABC8,The work that I do at this organization is meaningful to me,0,9
119,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,6
120,ABC10,I enjoy the colleagues I work with,1,8
121,ABC1,I have the resources I need to do my job well,0,7
122,ABC2,I am able to successfully balance my work and personal life,1,6
123,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,10
124,ABC4,I would recommend my direct manager to others,1,9
125,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,7
126,ABC6,I have confidence in the leadership team,1,3
127,ABC7,I have good career opportunities at this organization,1,0
128,ABC8,The work that I do at this organization is meaningful to me,1,0
129,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,1
130,ABC10,I enjoy the colleagues I work with,0,0
131,ABC1,I have the resources I need to do my job well,1,3
132,ABC2,I am able to successfully balance my work and personal life,1,4
133,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,9
134,ABC4,I would recommend my direct manager to others,0,6
135,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,4
136,ABC6,I have confidence in the leadership team,0,3
137,ABC7,I have good career opportunities at this organization,0,6
138,ABC8,The work that I do at this organization is meaningful to me,0,6
139,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,8
140,ABC10,I enjoy the colleagues I work with,1,2
141,ABC1,I have the resources I need to do my job well,1,8
142,ABC2,I am able to successfully balance my work and personal life,1,6
143,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,7
144,ABC4,I would recommend my direct manager to others,1,10
145,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,7
146,ABC6,I have confidence in the leadership team,0,6
147,ABC7,I have good career opportunities at this organization,0,9
148,ABC8,The work that I do at this organization is meaningful to me,1,8
149,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,3
150,ABC10,I enjoy the colleagues I work with,0,4
151,ABC1,I have the resources I need to do my job well,0,5
152,ABC2,I am able to successfully balance my work and personal life,0,7
153,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,8
154,ABC4,I would recommend my direct manager to others,0,6
155,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,4
156,ABC6,I have confidence in the leadership team,0,0
157,ABC7,I have good career opportunities at this organization,1,9
158,ABC8,The work that I do at this organization is meaningful to me,1,2
159,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,2
160,ABC10,I enjoy the colleagues I work with,0,2
161,ABC1,I have the resources I need to do my job well,0,0
162,ABC2,I am able to successfully balance my work and personal life,0,7
163,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,2
164,ABC4,I would recommend my direct manager to others,1,6
165,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,9
166,ABC6,I have confidence in the leadership team,1,8
167,ABC7,I have good career opportunities at this organization,0,2
168,ABC8,The work that I do at this organization is meaningful to me,0,2
169,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,10
170,ABC10,I enjoy the colleagues I work with,0,10
171,ABC1,I have the resources I need to do my job well,0,9
172,ABC2,I am able to successfully balance my work and personal life,0,8
173,ABC3,"Overall, I am satisfied with how decisions are made at this organization",0,0
174,ABC4,I would recommend my direct manager to others,0,7
175,ABC5,I feel satisfied with the recognition or praise I receive for my work,1,0
176,ABC6,I have confidence in the leadership team,1,0
177,ABC7,I have good career opportunities at this organization,1,6
178,ABC8,The work that I do at this organization is meaningful to me,1,3
179,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,7
180,ABC10,I enjoy the colleagues I work with,0,7
181,ABC1,I have the resources I need to do my job well,0,0
182,ABC2,I am able to successfully balance my work and personal life,0,9
183,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,10
184,ABC4,I would recommend my direct manager to others,0,6
185,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,6
186,ABC6,I have confidence in the leadership team,1,6
187,ABC7,I have good career opportunities at this organization,1,3
188,ABC8,The work that I do at this organization is meaningful to me,1,7
189,ABC9,My direct manager provides me with feedback that helps me improve my performance,1,9
190,ABC10,I enjoy the colleagues I work with,1,5
191,ABC1,I have the resources I need to do my job well,0,8
192,ABC2,I am able to successfully balance my work and personal life,0,10
193,ABC3,"Overall, I am satisfied with how decisions are made at this organization",1,6
194,ABC4,I would recommend my direct manager to others,1,6
195,ABC5,I feel satisfied with the recognition or praise I receive for my work,0,10
196,ABC6,I have confidence in the leadership team,1,8
197,ABC7,I have good career opportunities at this organization,0,7
198,ABC8,The work that I do at this organization is meaningful to me,1,4
199,ABC9,My direct manager provides me with feedback that helps me improve my performance,0,0
200,ABC10,I enjoy the colleagues I work with,1,9
201,ABC1,I have the resources I need to do my job well,1,1
202,ABC2,I am able to successfully balance my work and personal life,0,3
